P1 X: 11     P1 Y: 29
P45 X: 29     P45 Y: 11
P46 X: 20     P46 Y: 14
P47 X: 15     P47 Y: 29
P48 X: 11     P48 Y: 29
P49 X: 4     P49 Y: 19
P50 X: 23     P50 Y: 16
P51 X: 18     P51 Y: 19
P52 X: 8     P52 Y: 7
P53 X: 24     P53 Y: 23
P54 X: 22     P54 Y: 2
P55 X: 19     P55 Y: 17
P56 X: 20     P56 Y: 29
P57 X: 6     P57 Y: 27
P58 X: 0     P58 Y: 6
P59 X: 8     P59 Y: 3
P60 X: 20     P60 Y: 24
P61 X: 13     P61 Y: 4
P62 X: 29     P62 Y: 2
P63 X: 22     P63 Y: 8
P64 X: 17     P64 Y: 28
P65 X: 10     P65 Y: 11
P66 X: 4     P66 Y: 7
P67 X: 7     P67 Y: 5
P68 X: 5     P68 Y: 7
P69 X: 19     P69 Y: 12
P70 X: 22     P70 Y: 27
P71 X: 0     P71 Y: 14
P72 X: 3     P72 Y: 23
P73 X: 17     P73 Y: 17
P74 X: 8     P74 Y: 18
P75 X: 23     P75 Y: 20
P76 X: 17     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 18     P78 Y: 23
P79 X: 14     P79 Y: 2
P80 X: 8     P80 Y: 24
P81 X: 14     P81 Y: 25
P82 X: 24     P82 Y: 7
P83 X: 27     P83 Y: 14
P84 X: 5     P84 Y: 26
P85 X: 2     P85 Y: 8
P86 X: 8     P86 Y: 28
P87 X: 27     P87 Y: 4
P88 X: 3     P88 Y: 27
P89 X: 11     P89 Y: 22
P90 X: 24     P90 Y: 4
P91 X: 20     P91 Y: 3
P92 X: 26     P92 Y: 3
P93 X: 11     P93 Y: 26
P94 X: 9     P94 Y: 21
P95 X: 24     P95 Y: 22
P96 X: 21     P96 Y: 4
P97 X: 13     P97 Y: 20
P98 X: 14     P98 Y: 17
P99 X: 9     P99 Y: 25
P100 X: 24     P100 Y: 19

P1 X: 6     P1 Y: 18
P2 X: 10     P2 Y: 11
P3 X: 28     P3 Y: 20
P4 X: 23     P4 Y: 28
P5 X: 30     P5 Y: 6
P6 X: 30     P6 Y: 20
P7 X: 27     P7 Y: 28
P8 X: 8     P8 Y: 18
P9 X: 1     P9 Y: 1
P10 X: 18     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 17
P13 X: 9     P13 Y: 21
P14 X: 24     P14 Y: 23
P15 X: 9     P15 Y: 28
P16 X: 25     P16 Y: 3
P17 X: 5     P17 Y: 3
P18 X: 22     P18 Y: 27
P19 X: 3     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 8     P21 Y: 15
P22 X: 15     P22 Y: 24
P23 X: 24     P23 Y: 22
P24 X: 9     P24 Y: 9
P25 X: 27     P25 Y: 7
P26 X: 18     P26 Y: 16
P27 X: 14     P27 Y: 2
P28 X: 9     P28 Y: 15
P29 X: 15     P29 Y: 7
P30 X: 29     P30 Y: 8
P31 X: 5     P31 Y: 20
P32 X: 9     P32 Y: 22
P33 X: 23     P33 Y: 5
P34 X: 8     P34 Y: 26
P35 X: 24     P35 Y: 20
P36 X: 22     P36 Y: 12
P37 X: 19     P37 Y: 24
P38 X: 29     P38 Y: 27
P39 X: 4     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 21
P42 X: 13     P42 Y: 9
P43 X: 6     P43 Y: 8
P44 X: 20     P44 Y: 17
P45 X: 21     P45 Y: 11
P46 X: 11     P46 Y: 9
P47 X: 6     P47 Y: 29
P48 X: 11     P48 Y: 21
P49 X: 2     P49 Y: 26
P50 X: 26     P50 Y: 27
P51 X: 9     P51 Y: 19
P52 X: 21     P52 Y: 10
P53 X: 13     P53 Y: 23
P54 X: 7     P54 Y: 2
P55 X: 14     P55 Y: 25
P56 X: 20     P56 Y: 27
P57 X: 15     P57 Y: 27
P58 X: 2     P58 Y: 6
P59 X: 8     P59 Y: 5
P60 X: 20     P60 Y: 8
P61 X: 13     P61 Y: 9
P62 X: 29     P62 Y: 11
P63 X: 22     P63 Y: 6
P64 X: 29     P64 Y: 28
P65 X: 19     P65 Y: 9
P66 X: 9     P66 Y: 10
P67 X: 9     P67 Y: 8
P68 X: 8     P68 Y: 16
P69 X: 30     P69 Y: 7
P70 X: 22     P70 Y: 27
P71 X: 5     P71 Y: 14
P72 X: 3     P72 Y: 18
P73 X: 13     P73 Y: 17
P74 X: 17     P74 Y: 7
P75 X: 22     P75 Y: 5
P76 X: 26     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 25     P78 Y: 11
P79 X: 14     P79 Y: 1
P80 X: 15     P80 Y: 9
P81 X: 14     P81 Y: 27
P82 X: 24     P82 Y: 5
P83 X: 26     P83 Y: 24
P84 X: 18     P84 Y: 26
P85 X: 3     P85 Y: 25
P86 X: 8     P86 Y: 21
P87 X: 18     P87 Y: 13
P88 X: 6     P88 Y: 12
P89 X: 11     P89 Y: 11
P90 X: 27     P90 Y: 17
P91 X: 12     P91 Y: 6
P92 X: 27     P92 Y: 12
P93 X: 1     P93 Y: 22
P94 X: 9     P94 Y: 17
P95 X: 24     P95 Y: 28
P96 X: 21     P96 Y: 22
P97 X: 12     P97 Y: 27
P98 X: 2     P98 Y: 24
P99 X: 8     P99 Y: 28
P100 X: 12     P100 Y: 22

P1 X: 6     P1 Y: 26
P2 X: 15     P2 Y: 11
P3 X: 28     P3 Y: 29
P4 X: 23     P4 Y: 14
P5 X: 27     P5 Y: 1
P6 X: 30     P6 Y: 20
P7 X: 20     P7 Y: 28
P8 X: 4     P8 Y: 15
P9 X: 6     P9 Y: 1
P10 X: 5     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 28
P13 X: 9     P13 Y: 21
P14 X: 27     P14 Y: 23
P15 X: 9     P15 Y: 19
P16 X: 25     P16 Y: 3
P17 X: 16     P17 Y: 9
P18 X: 22     P18 Y: 27
P19 X: 15     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 10     P21 Y: 2
P22 X: 29     P22 Y: 11
P23 X: 26     P23 Y: 24
P24 X: 8     P24 Y: 13
P25 X: 27     P25 Y: 7
P26 X: 29     P26 Y: 1
P27 X: 27     P27 Y: 2
P28 X: 20     P28 Y: 15
P29 X: 15     P29 Y: 8
P30 X: 29     P30 Y: 24
P31 X: 9     P31 Y: 28
P32 X: 24     P32 Y: 26
P33 X: 17     P33 Y: 13
P34 X: 16     P34 Y: 18
P35 X: 14     P35 Y: 20
P36 X: 28     P36 Y: 5
P37 X: 19     P37 Y: 24
P38 X: 27     P38 Y: 27
P39 X: 8     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 23
P42 X: 4     P42 Y: 1
P43 X: 2     P43 Y: 7
P44 X: 7     P44 Y: 11
P45 X: 14     P45 Y: 11
P46 X: 3     P46 Y: 5
P47 X: 2     P47 Y: 29
P48 X: 11     P48 Y: 14
P49 X: 7     P49 Y: 12
P50 X: 16     P50 Y: 11
P51 X: 1     P51 Y: 19
P52 X: 27     P52 Y: 12
P53 X: 3     P53 Y: 23
P54 X: 7     P54 Y: 2
P55 X: 10     P55 Y: 8
P56 X: 20     P56 Y: 24
P57 X: 23     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 7
P61 X: 13     P61 Y: 21
P62 X: 29     P62 Y: 23
P63 X: 22     P63 Y: 5
P64 X: 16     P64 Y: 28
P65 X: 27     P65 Y: 8
P66 X: 13     P66 Y: 12
P67 X: 10     P67 Y: 20
P68 X: 10     P68 Y: 24
P69 X: 20     P69 Y: 3
P70 X: 22     P70 Y: 27
P71 X: 9     P71 Y: 14
P72 X: 3     P72 Y: 14
P73 X: 10     P73 Y: 17
P74 X: 25     P74 Y: 3
P75 X: 22     P75 Y: 9
P76 X: 10     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 9     P78 Y: 0
P79 X: 14     P79 Y: 1
P80 X: 21     P80 Y: 5
P81 X: 14     P81 Y: 20
P82 X: 24     P82 Y: 4
P83 X: 20     P83 Y: 27
P84 X: 30     P84 Y: 26
P85 X: 3     P85 Y: 19
P86 X: 8     P86 Y: 15
P87 X: 4     P87 Y: 21
P88 X: 14     P88 Y: 2
P89 X: 11     P89 Y: 1
P90 X: 29     P90 Y: 29
P91 X: 5     P91 Y: 14
P92 X: 21     P92 Y: 20
P93 X: 12     P93 Y: 19
P94 X: 9     P94 Y: 14
P95 X: 24     P95 Y: 19
P96 X: 21     P96 Y: 21
P97 X: 12     P97 Y: 27
P98 X: 17     P98 Y: 30
P99 X: 8     P99 Y: 30
P100 X: 1     P100 Y: 24

P1 X: 6     P1 Y: 27
P2 X: 19     P2 Y: 11
P3 X: 28     P3 Y: 23
P4 X: 23     P4 Y: 1
P5 X: 25     P5 Y: 7
P6 X: 30     P6 Y: 20
P7 X: 8     P7 Y: 28
P8 X: 1     P8 Y: 13
P9 X: 12     P9 Y: 1
P10 X: 7     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 14
P13 X: 9     P13 Y: 21
P14 X: 29     P14 Y: 23
P15 X: 9     P15 Y: 7
P16 X: 25     P16 Y: 3
P17 X: 26     P17 Y: 20
P18 X: 22     P18 Y: 27
P19 X: 26     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 18
P22 X: 14     P22 Y: 1
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 16
P25 X: 27     P25 Y: 7
P26 X: 17     P26 Y: 17
P27 X: 21     P27 Y: 2
P28 X: 30     P28 Y: 15
P29 X: 15     P29 Y: 22
P30 X: 29     P30 Y: 21
P31 X: 22     P31 Y: 17
P32 X: 22     P32 Y: 15
P33 X: 12     P33 Y: 20
P34 X: 23     P34 Y: 3
P35 X: 5     P35 Y: 20
P36 X: 27     P36 Y: 21
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 11     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 20     P42 Y: 6
P43 X: 1     P43 Y: 21
P44 X: 5     P44 Y: 6
P45 X: 8     P45 Y: 11
P46 X: 4     P46 Y: 2
P47 X: 9     P47 Y: 29
P48 X: 11     P48 Y: 8
P49 X: 11     P49 Y: 1
P50 X: 7     P50 Y: 4
P51 X: 6     P51 Y: 19
P52 X: 16     P52 Y: 13
P53 X: 6     P53 Y: 23
P54 X: 20     P54 Y: 2
P55 X: 7     P55 Y: 8
P56 X: 20     P56 Y: 22
P57 X: 30     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 21
P61 X: 13     P61 Y: 28
P62 X: 29     P62 Y: 26
P63 X: 22     P63 Y: 5
P64 X: 4     P64 Y: 28
P65 X: 26     P65 Y: 8
P66 X: 16     P66 Y: 13
P67 X: 10     P67 Y: 29
P68 X: 11     P68 Y: 29
P69 X: 11     P69 Y: 0
P70 X: 22     P70 Y: 27
P71 X: 12     P71 Y: 14
P72 X: 3     P72 Y: 11
P73 X: 8     P73 Y: 17
P74 X: 28     P74 Y: 12
P75 X: 22     P75 Y: 22
P76 X: 5     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 6     P78 Y: 10
P79 X: 14     P79 Y: 1
P80 X: 26     P80 Y: 18
P81 X: 14     P81 Y: 14
P82 X: 24     P82 Y: 4
P83 X: 15     P83 Y: 19
P84 X: 19     P84 Y: 26
P85 X: 3     P85 Y: 4
P86 X: 8     P86 Y: 10
P87 X: 9     P87 Y: 28
P88 X: 21     P88 Y: 15
P89 X: 11     P89 Y: 8
P90 X: 30     P90 Y: 20
P91 X: 1     P91 Y: 21
P92 X: 16     P92 Y: 27
P93 X: 22     P93 Y: 17
P94 X: 9     P94 Y: 12
P95 X: 24     P95 Y: 11
P96 X: 21     P96 Y: 5
P97 X: 12     P97 Y: 22
P98 X: 29     P98 Y: 25
P99 X: 8     P99 Y: 29
P100 X: 9     P100 Y: 25

P1 X: 6     P1 Y: 21
P2 X: 22     P2 Y: 11
P3 X: 28     P3 Y: 16
P4 X: 23     P4 Y: 11
P5 X: 24     P5 Y: 12
P6 X: 30     P6 Y: 20
P7 X: 3     P7 Y: 28
P8 X: 1     P8 Y: 12
P9 X: 17     P9 Y: 1
P10 X: 18     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 1
P13 X: 9     P13 Y: 21
P14 X: 30     P14 Y: 23
P15 X: 9     P15 Y: 4
P16 X: 25     P16 Y: 3
P17 X: 25     P17 Y: 30
P18 X: 22     P18 Y: 27
P19 X: 24     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 27
P22 X: 0     P22 Y: 12
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 18
P25 X: 27     P25 Y: 7
P26 X: 6     P26 Y: 28
P27 X: 10     P27 Y: 2
P28 X: 21     P28 Y: 15
P29 X: 15     P29 Y: 25
P30 X: 29     P30 Y: 7
P31 X: 26     P31 Y: 7
P32 X: 9     P32 Y: 5
P33 X: 8     P33 Y: 26
P34 X: 29     P34 Y: 11
P35 X: 3     P35 Y: 20
P36 X: 23     P36 Y: 24
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 13     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 25     P42 Y: 12
P43 X: 3     P43 Y: 26
P44 X: 16     P44 Y: 2
P45 X: 3     P45 Y: 11
P46 X: 10     P46 Y: 0
P47 X: 15     P47 Y: 29
P48 X: 11     P48 Y: 3
P49 X: 14     P49 Y: 13
P50 X: 1     P50 Y: 18
P51 X: 12     P51 Y: 19
P52 X: 6     P52 Y: 13
P53 X: 14     P53 Y: 23
P54 X: 28     P54 Y: 2
P55 X: 5     P55 Y: 23
P56 X: 20     P56 Y: 21
P57 X: 24     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 26
P61 X: 13     P61 Y: 18
P62 X: 29     P62 Y: 16
P63 X: 22     P63 Y: 5
P64 X: 7     P64 Y: 28
P65 X: 20     P65 Y: 8
P66 X: 18     P66 Y: 13
P67 X: 10     P67 Y: 19
P68 X: 11     P68 Y: 23
P69 X: 3     P69 Y: 2
P70 X: 22     P70 Y: 27
P71 X: 14     P71 Y: 14
P72 X: 3     P72 Y: 9
P73 X: 7     P73 Y: 17
P74 X: 22     P74 Y: 20
P75 X: 22     P75 Y: 26
P76 X: 19     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 20     P78 Y: 19
P79 X: 14     P79 Y: 1
P80 X: 30     P80 Y: 30
P81 X: 14     P81 Y: 9
P82 X: 24     P82 Y: 4
P83 X: 11     P83 Y: 12
P84 X: 9     P84 Y: 26
P85 X: 3     P85 Y: 10
P86 X: 8     P86 Y: 6
P87 X: 21     P87 Y: 26
P88 X: 27     P88 Y: 27
P89 X: 11     P89 Y: 16
P90 X: 30     P90 Y: 10
P91 X: 6     P91 Y: 27
P92 X: 12     P92 Y: 27
P93 X: 29     P93 Y: 16
P94 X: 9     P94 Y: 11
P95 X: 24     P95 Y: 4
P96 X: 21     P96 Y: 10
P97 X: 12     P97 Y: 18
P98 X: 16     P98 Y: 21
P99 X: 8     P99 Y: 29
P100 X: 18     P100 Y: 25

P1 X: 6     P1 Y: 16
P2 X: 24     P2 Y: 11
P3 X: 28     P3 Y: 10
P4 X: 23     P4 Y: 22
P5 X: 24     P5 Y: 16
P6 X: 30     P6 Y: 20
P7 X: 13     P7 Y: 28
P8 X: 2     P8 Y: 12
P9 X: 21     P9 Y: 1
P10 X: 28     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 11
P13 X: 9     P13 Y: 21
P14 X: 30     P14 Y: 23
P15 X: 9     P15 Y: 14
P16 X: 25     P16 Y: 3
P17 X: 17     P17 Y: 21
P18 X: 22     P18 Y: 27
P19 X: 15     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 13
P22 X: 13     P22 Y: 22
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 19
P25 X: 27     P25 Y: 7
P26 X: 4     P26 Y: 14
P27 X: 0     P27 Y: 2
P28 X: 13     P28 Y: 15
P29 X: 15     P29 Y: 13
P30 X: 29     P30 Y: 6
P31 X: 15     P31 Y: 2
P32 X: 3     P32 Y: 4
P33 X: 5     P33 Y: 29
P34 X: 26     P34 Y: 24
P35 X: 10     P35 Y: 20
P36 X: 20     P36 Y: 10
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 14     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 11     P42 Y: 17
P43 X: 4     P43 Y: 14
P44 X: 26     P44 Y: 1
P45 X: 1     P45 Y: 11
P46 X: 15     P46 Y: 1
P47 X: 20     P47 Y: 29
P48 X: 11     P48 Y: 1
P49 X: 16     P49 Y: 24
P50 X: 8     P50 Y: 29
P51 X: 17     P51 Y: 19
P52 X: 3     P52 Y: 13
P53 X: 21     P53 Y: 23
P54 X: 17     P54 Y: 2
P55 X: 4     P55 Y: 23
P56 X: 20     P56 Y: 21
P57 X: 19     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 14
P61 X: 13     P61 Y: 9
P62 X: 29     P62 Y: 7
P63 X: 22     P63 Y: 5
P64 X: 17     P64 Y: 28
P65 X: 15     P65 Y: 8
P66 X: 19     P66 Y: 13
P67 X: 10     P67 Y: 10
P68 X: 11     P68 Y: 18
P69 X: 4     P69 Y: 3
P70 X: 22     P70 Y: 27
P71 X: 15     P71 Y: 14
P72 X: 3     P72 Y: 8
P73 X: 7     P73 Y: 17
P74 X: 17     P74 Y: 27
P75 X: 22     P75 Y: 15
P76 X: 28     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 27     P78 Y: 27
P79 X: 14     P79 Y: 1
P80 X: 27     P80 Y: 19
P81 X: 14     P81 Y: 5
P82 X: 24     P82 Y: 4
P83 X: 8     P83 Y: 6
P84 X: 0     P84 Y: 26
P85 X: 3     P85 Y: 23
P86 X: 8     P86 Y: 3
P87 X: 28     P87 Y: 21
P88 X: 28     P88 Y: 22
P89 X: 11     P89 Y: 23
P90 X: 30     P90 Y: 1
P91 X: 10     P91 Y: 28
P92 X: 9     P92 Y: 22
P93 X: 21     P93 Y: 16
P94 X: 9     P94 Y: 11
P95 X: 24     P95 Y: 2
P96 X: 21     P96 Y: 24
P97 X: 12     P97 Y: 15
P98 X: 4     P98 Y: 18
P99 X: 8     P99 Y: 29
P100 X: 26     P100 Y: 25

P1 X: 6     P1 Y: 12
P2 X: 25     P2 Y: 11
P3 X: 28     P3 Y: 5
P4 X: 23     P4 Y: 28
P5 X: 24     P5 Y: 19
P6 X: 30     P6 Y: 20
P7 X: 22     P7 Y: 28
P8 X: 2     P8 Y: 12
P9 X: 24     P9 Y: 1
P10 X: 23     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 22
P13 X: 9     P13 Y: 21
P14 X: 30     P14 Y: 23
P15 X: 9     P15 Y: 23
P16 X: 25     P16 Y: 3
P17 X: 10     P17 Y: 13
P18 X: 22     P18 Y: 27
P19 X: 7     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 0
P22 X: 25     P22 Y: 29
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 19
P25 X: 27     P25 Y: 7
P26 X: 13     P26 Y: 1
P27 X: 9     P27 Y: 2
P28 X: 6     P28 Y: 15
P29 X: 15     P29 Y: 2
P30 X: 29     P30 Y: 18
P31 X: 5     P31 Y: 10
P32 X: 14     P32 Y: 12
P33 X: 3     P33 Y: 25
P34 X: 22     P34 Y: 24
P35 X: 16     P35 Y: 20
P36 X: 18     P36 Y: 3
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 14     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 2     P42 Y: 21
P43 X: 4     P43 Y: 3
P44 X: 25     P44 Y: 3
P45 X: 4     P45 Y: 11
P46 X: 19     P46 Y: 1
P47 X: 24     P47 Y: 29
P48 X: 11     P48 Y: 4
P49 X: 17     P49 Y: 26
P50 X: 14     P50 Y: 17
P51 X: 21     P51 Y: 19
P52 X: 11     P52 Y: 13
P53 X: 27     P53 Y: 23
P54 X: 7     P54 Y: 2
P55 X: 4     P55 Y: 10
P56 X: 20     P56 Y: 21
P57 X: 15     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 3
P61 X: 13     P61 Y: 1
P62 X: 29     P62 Y: 1
P63 X: 22     P63 Y: 5
P64 X: 26     P64 Y: 28
P65 X: 11     P65 Y: 8
P66 X: 19     P66 Y: 13
P67 X: 10     P67 Y: 2
P68 X: 11     P68 Y: 14
P69 X: 10     P69 Y: 3
P70 X: 22     P70 Y: 27
P71 X: 15     P71 Y: 14
P72 X: 3     P72 Y: 8
P73 X: 7     P73 Y: 17
P74 X: 13     P74 Y: 27
P75 X: 22     P75 Y: 5
P76 X: 16     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 15     P78 Y: 26
P79 X: 14     P79 Y: 1
P80 X: 25     P80 Y: 9
P81 X: 14     P81 Y: 2
P82 X: 24     P82 Y: 4
P83 X: 6     P83 Y: 1
P84 X: 8     P84 Y: 26
P85 X: 3     P85 Y: 25
P86 X: 8     P86 Y: 1
P87 X: 18     P87 Y: 17
P88 X: 24     P88 Y: 12
P89 X: 11     P89 Y: 29
P90 X: 30     P90 Y: 7
P91 X: 13     P91 Y: 24
P92 X: 7     P92 Y: 18
P93 X: 14     P93 Y: 16
P94 X: 9     P94 Y: 11
P95 X: 24     P95 Y: 7
P96 X: 21     P96 Y: 23
P97 X: 12     P97 Y: 13
P98 X: 7     P98 Y: 16
P99 X: 8     P99 Y: 29
P100 X: 27     P100 Y: 25

P1 X: 6     P1 Y: 9
P2 X: 25     P2 Y: 11
P3 X: 28     P3 Y: 1
P4 X: 23     P4 Y: 19
P5 X: 24     P5 Y: 21
P6 X: 30     P6 Y: 20
P7 X: 30     P7 Y: 28
P8 X: 2     P8 Y: 12
P9 X: 26     P9 Y: 1
P10 X: 15     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 28
P13 X: 9     P13 Y: 21
P14 X: 30     P14 Y: 23
P15 X: 9     P15 Y: 29
P16 X: 25     P16 Y: 3
P17 X: 4     P17 Y: 6
P18 X: 22     P18 Y: 27
P19 X: 0     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 12
P22 X: 24     P22 Y: 21
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 19
P25 X: 27     P25 Y: 7
P26 X: 21     P26 Y: 11
P27 X: 17     P27 Y: 2
P28 X: 0     P28 Y: 15
P29 X: 15     P29 Y: 8
P30 X: 29     P30 Y: 29
P31 X: 4     P31 Y: 17
P32 X: 24     P32 Y: 19
P33 X: 2     P33 Y: 22
P34 X: 19     P34 Y: 13
P35 X: 21     P35 Y: 20
P36 X: 17     P36 Y: 15
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 14     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 14     P42 Y: 24
P43 X: 4     P43 Y: 7
P44 X: 17     P44 Y: 4
P45 X: 6     P45 Y: 11
P46 X: 22     P46 Y: 1
P47 X: 27     P47 Y: 29
P48 X: 11     P48 Y: 6
P49 X: 17     P49 Y: 17
P50 X: 19     P50 Y: 6
P51 X: 24     P51 Y: 19
P52 X: 18     P52 Y: 13
P53 X: 28     P53 Y: 23
P54 X: 2     P54 Y: 2
P55 X: 4     P55 Y: 2
P56 X: 20     P56 Y: 21
P57 X: 12     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 7
P61 X: 13     P61 Y: 6
P62 X: 29     P62 Y: 8
P63 X: 22     P63 Y: 5
P64 X: 26     P64 Y: 28
P65 X: 8     P65 Y: 8
P66 X: 19     P66 Y: 13
P67 X: 10     P67 Y: 5
P68 X: 11     P68 Y: 11
P69 X: 15     P69 Y: 3
P70 X: 22     P70 Y: 27
P71 X: 15     P71 Y: 14
P72 X: 3     P72 Y: 8
P73 X: 7     P73 Y: 17
P74 X: 10     P74 Y: 22
P75 X: 22     P75 Y: 4
P76 X: 5     P76 Y: 15
P77 X: 9     P77 Y: 20
P78 X: 4     P78 Y: 20
P79 X: 14     P79 Y: 1
P80 X: 24     P80 Y: 0
P81 X: 14     P81 Y: 0
P82 X: 24     P82 Y: 4
P83 X: 5     P83 Y: 3
P84 X: 15     P84 Y: 26
P85 X: 3     P85 Y: 14
P86 X: 8     P86 Y: 0
P87 X: 9     P87 Y: 14
P88 X: 21     P88 Y: 3
P89 X: 11     P89 Y: 26
P90 X: 30     P90 Y: 14
P91 X: 15     P91 Y: 21
P92 X: 6     P92 Y: 15
P93 X: 8     P93 Y: 16
P94 X: 9     P94 Y: 11
P95 X: 24     P95 Y: 11
P96 X: 21     P96 Y: 11
P97 X: 12     P97 Y: 12
P98 X: 17     P98 Y: 15
P99 X: 8     P99 Y: 29
P100 X: 21     P100 Y: 25

P1 X: 6     P1 Y: 7
P2 X: 25     P2 Y: 11
P3 X: 28     P3 Y: 2
P4 X: 23     P4 Y: 11
P5 X: 24     P5 Y: 22
P6 X: 30     P6 Y: 20
P7 X: 23     P7 Y: 28
P8 X: 2     P8 Y: 12
P9 X: 27     P9 Y: 1
P10 X: 8     P10 Y: 0
P11 X: 8     P11 Y: 9
P12 X: 6     P12 Y: 19
P13 X: 9     P13 Y: 21
P14 X: 30     P14 Y: 23
P15 X: 9     P15 Y: 22
P16 X: 25     P16 Y: 3
P17 X: 1     P17 Y: 0
P18 X: 22     P18 Y: 27
P19 X: 6     P19 Y: 12
P20 X: 21     P20 Y: 11
P21 X: 11     P21 Y: 23
P22 X: 14     P22 Y: 14
P23 X: 27     P23 Y: 25
P24 X: 8     P24 Y: 19
P25 X: 27     P25 Y: 7
P26 X: 28     P26 Y: 22
P27 X: 24     P27 Y: 2
P28 X: 5     P28 Y: 15
P29 X: 15     P29 Y: 17
P30 X: 29     P30 Y: 21
P31 X: 12     P31 Y: 23
P32 X: 27     P32 Y: 25
P33 X: 2     P33 Y: 20
P34 X: 17     P34 Y: 3
P35 X: 25     P35 Y: 20
P36 X: 17     P36 Y: 26
P37 X: 19     P37 Y: 24
P38 X: 26     P38 Y: 27
P39 X: 14     P39 Y: 24
P40 X: 15     P40 Y: 7
P41 X: 3     P41 Y: 24
P42 X: 25     P42 Y: 26
P43 X: 4     P43 Y: 16
P44 X: 10     P44 Y: 4
P45 X: 7     P45 Y: 11
P46 X: 24     P46 Y: 1
P47 X: 29     P47 Y: 29
P48 X: 11     P48 Y: 7
P49 X: 17     P49 Y: 9
P50 X: 23     P50 Y: 4
P51 X: 26     P51 Y: 19
P52 X: 24     P52 Y: 13
P53 X: 24     P53 Y: 23
P54 X: 10     P54 Y: 2
P55 X: 4     P55 Y: 13
P56 X: 20     P56 Y: 21
P57 X: 10     P57 Y: 27
P58 X: 3     P58 Y: 6
P59 X: 8     P59 Y: 6
P60 X: 20     P60 Y: 16
P61 X: 13     P61 Y: 12
P62 X: 29     P62 Y: 14
P63 X: 22     P63 Y: 5
P64 X: 19     P64 Y: 28
P65 X: 6     P65 Y: 8
P66 X: 19     P66 Y: 13
